file,frame,instant_format,instant,traffic_lane,idj,Qvpj,report,Qvfj,id1,vehicle_type_1,Qvp1j,hd1_time,hd1_space,id4,hd4_time,hd4_space,idQmfj,Qmfj,Qmf10j,Qmf11j,Qmf20j,Qmf21j,Qmf30j,Qmf31j,idQmevj,Qmev12j,Qmev23j,Qmev34j,Qmevj,idcvj,idQvcj,Qvcj,CV_length,Dcv,idQmcpj,Qmcp1j,Qmcp2j,Qmcp3j,Qmcp4j,Qmcpj,MB
BM_x_PA_D2_0001.json,1049,0:35,35.0017,1,[4],1,@Fila insuficiente (1),1,4,Onibus,1,3.87,0.07653061224481661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM_x_PA_D2_0001.json,1049,0:35,35.0017,2,"[1, 6]",2,@Fila insuficiente (2),2,1,Onibus,1,1.84,0.025510204081548693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM_x_PA_D2_0001.json,1049,0:35,35.0017,3,"[8, 3, 7, 52]",4,,4,8,Carro,0,9.61,5.204144157287381,52.0,21.99,37.780620857389835,"{18: '10', 19: '10'}",2.0,2.0,0.0,0.0,0.0,0.0,0.0,"{'8-3': [], '3-7': [], '7-52': []}",0.0,0.0,0.0,0.0,"[3, 4]","[14, 13, 12, 10]",4.0,35.73979591836735,0.05596002855103497,"{8: [12, 10], 3: [14], 7: [], 52: []}",2.0,1.0,0.0,0.0,3.0,1.0
BM_x_PA_D2_0001.json,1049,0:35,35.0017,4,[5],0,@Fila insuficiente (1),1,5,Carro,0,9.11,7.219793382994193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM_x_PA_D2_0001.json,5844,3:14,194.995,3,"[137, 138, 147, 184]",1,,4,137,Carro,0,6.91,9.414509624079706,184.0,14.25,28.37066169518967,"{157: '11', 132: '31', 130: '30', 129: '30', 128: '30'}",5.0,0.0,1.0,0.0,0.0,3.0,1.0,"{'137-138': [], '138-147': [], '147-184': []}",0.0,0.0,0.0,0.0,"[3, 4]","[169, 131]",2.0,25.0,0.04,"{137: [], 138: [], 147: [], 184: []}",0.0,0.0,0.0,0.0,0.0,1.0
BM_x_PA_D2_0001.json,5844,3:14,194.995,4,"[124, 127, 134, 148]",1,,4,124,Carro,0,3.94,3.724511636782401,148.0,16.15,28.137755102040735,"{131: '10', 135: '10'}",2.0,2.0,0.0,0.0,0.0,0.0,0.0,"{'124-127': [], '127-134': [], '134-148': []}",0.0,0.0,0.0,0.0,"[4, 5]","[169, 157, 132, 129]",4.0,28.775510204081634,0.06950354609929078,"{124: [157, 132], 127: [], 134: [], 148: []}",2.0,0.0,0.0,0.0,2.0,1.0
BM_x_PA_D2_0001.json,10639,5:54,354.9883,1,"[253, 260, 292]",2,@Fila insuficiente (3),3,253,Onibus,1,1.17,0.306122448979508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM_x_PA_D2_0001.json,10639,5:54,354.9883,3,"[247, 259, 262, 265]",0,,4,247,Carro,0,3.5,3.7245771586062943,265.0,13.75,26.149504225947,"{261: '10', 263: '10'}",2.0,2.0,0.0,0.0,0.0,0.0,0.0,"{'247-259': [301], '259-262': [], '262-265': []}",1.0,0.0,0.0,1.0,"[3, 4]","[312, 310, 288, 282, 264]",5.0,26.607142857142854,0.09395973154362418,"{247: [282, 264, 273], 259: [312, 310], 262: [], 265: []}",3.0,2.0,0.0,0.0,5.0,1.0
BM_x_PA_D2_0001.json,10639,5:54,354.9883,4,"[256, 266, 280, 296]",0,,4,256,Carro,0,5.94,7.9356828612267485,296.0,16.52,30.9706590365437,"{282: '11', 264: '21', 287: '10', 273: '11', 268: '30', 251: '30', 250: '30'}",7.0,1.0,2.0,0.0,1.0,3.0,0.0,"{'256-266': [], '266-280': [], '280-296': []}",0.0,0.0,0.0,0.0,"[4, 5]","[312, 310, 301, 288, 261]",5.0,27.397959183673468,0.09124767225325885,"{256: [288], 266: [310], 280: [], 296: []}",1.0,1.0,0.0,0.0,2.0,1.0
BM_x_PA_D2_0001.json,14835,8:14,494.995,1,"[383, 404]",2,@Fila insuficiente (2),2,383,Onibus,1,2.97,0.025510204081548693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM_x_PA_D2_0001.json,14835,8:14,494.995,2,[377],1,@Fila insuficiente (1),1,377,Onibus,1,5.21,0.30718353517318914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM_x_PA_D2_0001.json,14835,8:14,494.995,3,"[381, 387, 391, 397]",0,,4,381,Carro,0,7.47,7.831632653061142,397.0,16.08,27.729603570956638,"{402: '10', 398: '21', 380: '21', 376: '30', 375: '30'}",5.0,1.0,0.0,0.0,2.0,2.0,0.0,"{'381-387': [], '387-391': [], '391-397': []}",0.0,0.0,0.0,0.0,"[3, 4]",[385],1.0,24.28571428571429,0.020588235294117643,"{381: [], 387: [], 391: [], 397: []}",0.0,0.0,0.0,0.0,0.0,1.0
BM_x_PA_D2_0001.json,14835,8:14,494.995,4,"[400, 406, 407, 417]",0,,4,400,Carro,0,5.91,5.945245966680486,417.0,16.95,24.669159581700498,"{396: '11', 384: '20', 385: '20', 390: '20'}",4.0,0.0,1.0,3.0,0.0,0.0,0.0,"{'400-406': [], '406-407': [], '407-417': []}",0.0,0.0,0.0,0.0,"[4, 5]",[398],1.0,23.46938775510204,0.021304347826086957,"{400: [], 406: [], 407: [], 417: []}",0.0,0.0,0.0,0.0,0.0,1.0
