file,frame,instant_format,instant,traffic_lane,id1,head,vehicle_type,Qvp1j,idQmfj,Qmfj,Qmf10j,Qmf11j,Qmf20j,Qmf21j,Qmf30j,Qmf31j,Qmf00j,hd1_time,hd1_space,idQmcpj,Qmcpj
BM_x_PA_D2_0001.json,1049,0:35,35.0017,1,4,40.86734693877551,Onibus,1,{},0,0,0,0,0,0,0,0,3.87,0.08,[],0
BM_x_PA_D2_0001.json,1049,0:35,35.0017,2,1,40.91836734693878,Onibus,1,{},0,0,0,0,0,0,0,0,1.84,0.03,[],0
BM_x_PA_D2_0001.json,1049,0:35,35.0017,3,8,35.73979591836735,Carro,0,"{18: '10', 19: '10'}",2,2,0,0,0,0,0,0,9.61,5.2,"[12, 10]",2
BM_x_PA_D2_0001.json,1049,0:35,35.0017,4,5,33.724489795918366,Carro,0,"{18: '10', 32: '11', 10: '11', 17: '11', 22: '21', 15: '20', 11: '30'}",7,1,3,1,1,1,0,0,9.11,7.22,"[13, 12]",2
BM_x_PA_D2_0001.json,5844,3:14,194.995,3,137,31.53061224489796,Carro,0,"{157: '11', 132: '31', 130: '30', 129: '30', 128: '30'}",5,0,1,0,0,3,1,0,6.91,9.41,[],0
BM_x_PA_D2_0001.json,5844,3:14,194.995,4,124,37.21938775510204,Carro,0,"{131: '10', 135: '10'}",2,2,0,0,0,0,0,0,3.94,3.72,"[157, 132]",2
BM_x_PA_D2_0001.json,10639,5:54,354.9883,1,253,40.63775510204082,Onibus,1,{},0,0,0,0,0,0,0,0,1.17,0.31,[],0
BM_x_PA_D2_0001.json,10639,5:54,354.9883,3,247,37.21938775510204,Carro,0,"{261: '10', 263: '10'}",2,2,0,0,0,0,0,0,3.5,3.72,"[282, 264, 273]",3
BM_x_PA_D2_0001.json,10639,5:54,354.9883,4,256,33.01020408163265,Carro,0,"{282: '11', 264: '21', 287: '10', 273: '11', 268: '30', 251: '30', 250: '30'}",7,1,2,0,1,3,0,0,5.94,7.94,[288],1
BM_x_PA_D2_0001.json,14835,8:14,494.995,1,383,40.91836734693878,Onibus,1,{},0,0,0,0,0,0,0,0,2.97,0.03,[],0
BM_x_PA_D2_0001.json,14835,8:14,494.995,2,377,40.63775510204082,Onibus,1,{},0,0,0,0,0,0,0,0,5.21,0.31,[],0
BM_x_PA_D2_0001.json,14835,8:14,494.995,3,381,33.11224489795919,Carro,0,"{402: '11', 398: '21', 380: '21', 376: '30', 375: '30'}",5,0,1,0,2,2,0,0,7.47,7.83,[],0
BM_x_PA_D2_0001.json,14835,8:14,494.995,4,400,35.0,Carro,0,"{396: '11', 384: '20', 385: '20', 390: '20'}",4,0,1,3,0,0,0,0,5.91,5.95,[],0
